rank,name,range,up_down
1,앤트맨과 와스프,na,0
2,마녀,na,0
3,변산,na,0
4,탐정: 리턴즈,na,0
5,허스토리,na,0
6,시카리오: 데이 오브 솔다도,na,0
7,인랑,up,6
8,신과함께-인과 연,up,2
9,미드나잇 선,na,0
10,독전,down,3
11,쥬라기 월드: 폴른 킹덤,down,3
12,오션스8,down,1
13,여중생A,down,1
14,오 루시!,up,1
15,더 펜션,up,1
16,아일라,down,2
17,스카이스크래퍼,na,0
18,킬링 디어,up,2
19,공작,na,0
20,개들의 섬,down,2
21,인크레더블 2,up,1
22,빅샤크: 매직체인지,down,1
23,착한 장모,up,1
24,어벤져스: 인피니티 워,up,1
25,속닥속닥,up,2
26,게이트,down,3
27,"오늘 밤, 로맨스 극장에서",up,5
28,아이 필 프리티,up,1
29,잉글랜드 이즈 마인,down,1
30,앤트맨,up,3
31,어린 여배우,up,8
32,퓨처 월드,down,2
33,미션 임파서블: 폴아웃,up,1
34,램페이지,down,8
35,버닝,down,5
36,연애 : 엄마친구,up,7
37,서버비콘,up,3
38,트루스 오어 데어,down,3
39,식구,up,8
40,레디 플레이어 원,up,1
41,시카리오: 암살자의 도시,down,5
42,추룡,down,4
43,바르다가 사랑한 얼굴들,down,1
44,드래곤 프린세스,up,2
45,시크릿 어페어,na,0
46,몬몬몬 몬스터,up,20
47,더 도메스틱,up,1
48,하우스 오브 데스,up,27
49,도묘필기: 제국의 서막,down,12
50,너의 췌장을 먹고 싶어,down,5
